Exercise (old name),Description,Name with Link,Movement Type,Pattern,Primary Body Part,Secondary Body Part,Equipment
 Lying leg curl,Leg Curl – Lying,https://drive.google.com/file/d/1abSMDX0Vw6yW3uhUfN1Ec7owcz6zps5z/view?usp=drivesdk,Isolation,Knee Flexion (Hamstring),Hamstrings,,Machine
 Alternating lying leg curl (eccentric),"Leg Curl – Lying (Alternating, Eccentric)",https://drive.google.com/file/d/1SgqT_RYDWeC-DLpO6CU-2hJeR6rYNIvE/view?usp=drivesdk,Isolation,Knee Flexion (Hamstring),Hamstrings,,Machine
 Alternating lying leg curl,Leg Curl – Lying (Alternating),https://drive.google.com/file/d/1KHt9D6dyqHZkCW54FI1QJdnw30lm3quq/view?usp=drivesdk,Isolation,Knee Flexion (Hamstring),Hamstrings,,Machine
 Lying leg curl (single),Leg Curl – Lying (Single Leg),https://drive.google.com/file/d/1b1uNCmN2kws3BLkxv4QvaVdvBnHI4nMD/view?usp=drivesdk,Isolation,Knee Flexion (Hamstring),Hamstrings,,Machine
 Seated Leg Curl,Leg Curl – Seated,https://drive.google.com/file/d/1RXqbrdPbNPZI4Zu1fflTrReCi6aeApRG/view?usp=drivesdk,Isolation,Knee Flexion (Hamstring),Hamstrings,,Machine
 Seated Leg Curl (single leg),Leg Curl – Seated (Single Leg),https://drive.google.com/file/d/1cg12dpf-wMhjiOX8yg0d7vnZt2g_KVaL/view?usp=drivesdk,Isolation,Knee Flexion (Hamstring),Hamstrings,,Machine
 Leg ext,Leg Extension,https://drive.google.com/file/d/1kx1pdydpIyEevhVgBbk3dINaCxe-dNxk/view?usp=drivesdk,Isolation,Isolation,Quads,,Machine
 Alt leg ext,Leg Extension – Alternating,https://drive.google.com/file/d/1P4nNsd2BviGVPwEtH3pBEhAq-MecvWzn/view?usp=drivesdk,Isolation,Isolation,Quads,,Machine
 Alt leg ext (eccentric),Leg Extension – Alternating (Eccentric),https://drive.google.com/file/d/1RdSiX8r5C7VQNfUInAskLJPLPzo-a8qk/view?usp=drivesdk,Isolation,Isolation,Quads,,Machine
 Leg Extension (reception),Leg Extension – Rehabilitation,https://drive.google.com/file/d/1xsd5oiaZsw1wDCKMk04-UzWZYt_B2FIH/view?usp=drivesdk,Isolation,Isolation,Quads,,Machine
 Leg ext (single),Leg Extension – Single Leg,https://drive.google.com/file/d/1mPJPTKYD7PXn_zdDZcYPu1X4JBBo42YS/view?usp=drivesdk,Isolation,Isolation,Quads,,Machine
 45⁰ leg press (b),Leg Press – 45 Degree (Bilateral),https://drive.google.com/file/d/1r_6uN0Ukw4t5xPf92rguCV7_tTIBu-K8/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Machine
 45⁰ leg press ( h w),Leg Press – 45 Degree (High and Wide Stance),https://drive.google.com/file/d/13YaiX9blGTaUzQnWPvrSU02hSjCiJCMo/view?usp=drivesdk,Compound,Squat Hip Dominant,Glutes,Quads,Machine
 45⁰ leg press (h c),Leg Press – 45 Degree (High Close Stance),https://drive.google.com/file/d/1aItkaiA8_WQzXn2L0GzuQK5FNRg_dNFh/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Machine
 45⁰ leg press (l c),Leg Press – 45 Degree (Low Close Stance),https://drive.google.com/file/d/1gvNhWXBsvR2OH-j8Rk9GQx0_cA_f6OYg/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Machine
 Horizontal Leg Press,Leg Press – Horizontal,https://drive.google.com/file/d/1sqibQh0Ss1VB0AProQCCJtOtjyy-4ihJ/view?usp=drivesdk,Compound,Squat Hip Dominant,Quads,Glutes,Machine
 Captain's chair leg raise,Leg Raise – Captain’s Chair,https://drive.google.com/file/d/1yx4GtwCzrLg7oQMlcNf2Uig9T4HQEUCJ/view?usp=drivesdk,Isolation,Squat Quad Dominant,Abdominals,,Machine
 Alternating Forward Lunge,Lunge – Forward (Alternating),https://drive.google.com/file/d/14KPaUIVlnvb9BT2UUjIT3b1jKf8Xpnn5/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Dumbbells
 kb front rack lunge,Lunge – Kettlebell Front Rack,https://drive.google.com/file/d/1oyQm6-E723sdpAK6GTppcwwiZAfcme9g/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Kettlebell
 Alternating Reverse Lunge,Lunge – Reverse (Alternating),https://drive.google.com/file/d/1iGm4a6dTgMOEhzbNyGJpWFqNPdotdoFl/view?usp=drivesdk,Compound,Squat Quad Dominant,Glutes,Quads,Dumbbells + Box
 Barbell Reverse Lunge (deficit),Lunge – Reverse Barbell (Deficit),https://drive.google.com/file/d/1t5U40B0Sgca_c8LEemCLBsjqQHR55SxD/view?usp=drivesdk,Compound,Squat Hip Dominant,Quads,Glutes,Barbell + Box
 Db alternating reverse lunge (deficit),"Lunge – Reverse Dumbbell (Deficit, Alternating)",https://drive.google.com/file/d/193HsZRC_ISINwUPJqT4sJpD6Lw9PIF09/view?usp=drivesdk,Compound,Squat Quad Dominant,Glutes,Quads,Dumbbells + Box
 Db Reverse lunge (deficit),Lunge – Reverse Dumbbell (Deficit),https://drive.google.com/file/d/1kaqyCyqDEhaYSuXkig0YZEHTDYThLNqB/view?usp=drivesdk,Compound,Squat Hip Dominant,Glutes,Quads,Dumbbell + Box
 Ssb reverse lunge (deficit),Lunge – Reverse Safety Bar (Deficit),https://drive.google.com/file/d/1lEBbMZJuMCn5vgjvty7gqJuQZPIgKGiF/view?usp=drivesdk,Compound,Squat Hip Dominant,Quads,Glutes,Barbell
Barbell Walking Lunge,Lunge – Walking Barbell,https://drive.google.com/file/d/1HnVcMh0DBZlUH9ZO_GylXqzHHXZCcWu3/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Barbell
 DB walking lunge,Lunge – Walking Dumbbell,https://drive.google.com/file/d/1jh-5j-KXtZ52YSc7xCD4jvgV1vnWDGiZ/view?usp=drivesdk,Compound,Squat Hip Dominant,Quads,Glutes,Dumbbells
Standing Overhead Press (swiss bar),Overhead Press – Swiss Bar,https://drive.google.com/file/d/1HvIIAvZcU039Yd6-ODkKJB4t3ouSrVw0/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Swiss Bar
 Plank,Plank,https://drive.google.com/file/d/1MqLGZvUL196n9Zf4xa5ddixdoo2OGv_Z/view?usp=drivesdk,Isolation,None,Abdominals,,Bodyweight
Plate loaded jammer press,Press – Jammer (Plate Loaded),https://drive.google.com/file/d/111UauqzELElHVcriR9Nq9E8MxhaPrQoT/view?usp=drivesdk,Compound,Horizontal Push,Shoulders,Triceps,Machine
 Pull up,Pull-Up,https://drive.google.com/file/d/1EVX9X6C4d0CskGY728N2A5Sr-b1gZ7Wu/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Pull Up Bar
 Assisted Pull Up,Pull-Up – Assisted,https://drive.google.com/file/d/1P7tgRppe4_XKt00q7xNYLkc4mxpEWUwB/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Pull Up Bar
 Assisted Pull Up (wg-pro),Pull-Up – Assisted (Wide Grip Pronated),https://drive.google.com/file/d/1RCszrKYkQPL-xt1CH0QnD7tLmxiB0FuF/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Pull Up Bar
 Pull up (wg),Pull-Up – Wide Grip,https://drive.google.com/file/d/18cFuAS9ul73f9KkiQtNPgtni2izcJaJO/view?usp=drivesdk,Compound,Vertical Pull,Lats,Upper Back,Pull Up Bar
Standing Push Press (barbell),Push Press – Barbell,https://drive.google.com/file/d/1XaB7Oo8fo0N6Y3knq8oTjkiaWFK9B-jK/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Barbell
 Chest supported db rear delt fly,Rear Delt Fly – Chest Supported Dumbbell,https://drive.google.com/file/d/15hBZtdFrVzP4vYGVhZbvOV1BUyeICRfP/view?usp=drivesdk,Isolation,Isolation,Upper Back,,Dumbbell + Bench
 Dual cable rear delt fly,Rear Delt Fly – Dual Cable,https://drive.google.com/file/d/1b5Y8ba94WKVa8jNueNY-1K7S4GMXR6cw/view?usp=drivesdk,Isolation,Isolation,Upper Back,,Cables
 Machine rear fly (rd),Rear Delt Fly – Machine (Rear Delt),https://drive.google.com/file/d/1TFvOq5h55TtruQnkbI-mtRrzv6TMf2eQ/view?usp=drivesdk,Isolation,"Please provide more information about the exercise ""Machine rear fly (rd)"" for a more accurate categorization.",Shoulders,Upper Back,Machine
 Machine rear fly (ub),Rear Delt Fly – Machine (Upper Back),https://drive.google.com/file/d/1lc3tw5bi1FpsE86BL7PIhtBVdUdY8RqK/view?usp=drivesdk,Isolation,Isolation,Upper Back,,Machine
 Db seated rear delt fly,Rear Delt Fly – Seated Dumbbell,https://drive.google.com/file/d/1-vonRYQ9bTbCkZsNBafORHIuT-mx41dd/view?usp=drivesdk,Isolation,Isolation,Shoulders,Upper Back,Dumbbell + Bench
 Single cable rear delt fly,Rear Delt Fly – Single Arm Cable,https://drive.google.com/file/d/1hE2cUzrg4Fx7iuTOcLOnL6lJrGZtUQcS/view?usp=drivesdk,Isolation,Isolation,Upper Back,,Cables
 Dual cable reverse fly,Reverse Fly – Dual Cable,https://drive.google.com/file/d/1R3FBTXjYv4ri_QYv8L5ssiUXOLj8VxuD/view?usp=drivesdk,Isolation,Isolation,Upper Back,,Cables
 Kneeling Cable Rotation (low-high),Rotation – Kneeling Cable (Low to High),https://drive.google.com/file/d/1RfjJX2u_MVjuGJAvZ-nJwfY_oKoWnUV3/view?usp=drivesdk,Compound,Accessory,Abdominals,,Cables
 Standing Cable Rotation (high-low),Rotation – Standing Cable (High to Low),https://drive.google.com/file/d/1U-0wRRJklutNyUkOxHbWiwsSo7mFLxjo/view?usp=drivesdk,Compound,Vertical Pull,Abdominals,,Cables
 Cable Standing Rotation (low-high),Rotation – Standing Cable (Low to High),https://drive.google.com/file/d/1Jn-jDkzPqLF9b0kA7egcYad92TtEMAHF/view?usp=drivesdk,Compound,Hinge,Abdominals,,Cables
 Standing Cable Rotation (mid),Rotation – Standing Cable (Mid Height),https://drive.google.com/file/d/1Cv5Jm2vF523fKYRi7We06Vgs7aF8MCRZ/view?usp=drivesdk,Compound,Accessory,Abdominals,,Cables
 Standing landmine rotation,Rotation – Standing Landmine,https://drive.google.com/file/d/1qoG68i07GlfvN53Z7g_yFBSd_7TvWpKL/view?usp=drivesdk,Compound,Accessory,Abdominals,,Barbell + Landmine
 Pronated Barbell Row,Row – Barbell (Pronated),https://drive.google.com/file/d/1gvNColOh49IUz6zBtvZ-ulXvAUhOmyXd/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Upper Back,Barbell
 Supinated Barbell Row,Row – Barbell (Supinated),https://drive.google.com/file/d/167n_j_QmkJbEWb3RqfElPHOhK_LVQslO/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Biceps,Barbell
 Chest spt row (neu),Row – Chest Supported (Neutral Grip),https://drive.google.com/file/d/1Z2sipDE97FQ2B6eqPHe8N7R2Bomk34qI/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Back,Machine
 Chest spt row (pro),Row – Chest Supported (Pronated Grip),https://drive.google.com/file/d/1tVbb_W4OwstPdQ9lJkAit4V2MQO08LmK/view?usp=drivesdk,Compound,Horizontal Pull,Back,Upper Back,Machine
 Chest spt row (single),Row – Chest Supported (Single Arm),https://drive.google.com/file/d/1YtNGKrn2SAGtnKdr3qmo3ZbCuzWBUZPe/view?usp=drivesdk,Compound,Horizontal Pull,Back,Upper Back,Machine
 Chest Supported DB Row (neutral),Row – Chest Supported Dumbbell (Neutral Grip),https://drive.google.com/file/d/1Pw3hpFweVwkrwjjX57jRA2-FHxHxjQAN/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Back,Dumbbell + Bench
 Chest supported DB row (pronated),Row – Chest Supported Dumbbell (Pronated Grip),https://drive.google.com/file/d/1_7iNzcmLNAg0tPGQcZc5OBTmwqTJGnBN/view?usp=drivesdk,Compound,Horizontal Pull,Upper Back,Back,Dumbbell + Bench
 DB row (neutral),Row – Dumbbell (Neutral Grip),https://drive.google.com/file/d/1rYxyjhHcrSwr_tgesVawX5AfgAWyqNVw/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Upper Back,Dumbbell + Bench
 Incline Supported DB row (neutral),Row – Incline Supported Dumbbell (Neutral Grip),https://drive.google.com/file/d/1YY4jXSj49lmCgMCzxTy_oZizi9JAlMMJ/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Back,Dumbbell + Bench
 Landmine row (pronated),Row – Landmine (Pronated Grip),https://drive.google.com/file/d/1dn8UnDH148BcIWbZ38FFwcKJNlJgweeo/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Upper Back,Barbell + Landmine
 Landmine row (supinated),Row – Landmine (Supinated Grip),https://drive.google.com/file/d/1_xyfpu8wU4uy1oHxCSrYxoaG5lKzqIm7/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Back,Barbell + Landmine
 Landmine row (v bar),Row – Landmine (V-Bar),https://drive.google.com/file/d/1kCFUBa82ElNepUzJiBTcliipACuVBgrO/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Upper Back,Barbell + Landmine
 Landmine Meadows Row,Row – Landmine Meadows,https://drive.google.com/file/d/1E5HTj9dJfjNedIE5jQ-q4pUA7-pqnslX/view?usp=drivesdk,Compound,Horizontal Pull,Back,Upper Back,Barbell + Landmine
 Pin loaded chest supported row,Row – Pin Loaded Chest Supported,https://drive.google.com/file/d/1S4UQNuZwgsWvdIM2wiTgUpVlUx2IDSeS/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Back,Machine
 Seated cable row (cls neu),Row – Seated Cable (Close Neutral),https://drive.google.com/file/d/1U6OzK0zyDGjDq1J0OQYTeRwRfr6-SpHN/view?usp=drivesdk,Compound,Horizontal Pull,Back,Biceps,Cables
 Seated cable row (mid neu),Row – Seated Cable (Mid Neutral),https://drive.google.com/file/d/1BrgHOE1NxuWszvRPDpHd1gTaRomatx6u/view?usp=drivesdk,Compound,Horizontal Pull,Back,Biceps,Cables
 Seated cable row (pro),Row – Seated Cable (Pronated),https://drive.google.com/file/d/1LQ-wF3pg_mhSg00_dh0-HnIvi13yLYW9/view?usp=drivesdk,Compound,Horizontal Pull,Back,Upper Back,Cables
 Seated cable row (sup),Row – Seated Cable (Supinated),https://drive.google.com/file/d/1EntVcYA9KdqOuOi7_0EMGW2C65xmK6Zz/view?usp=drivesdk,Compound,Horizontal Pull,Back,Biceps,Cables
 Seated Cable Row (v),Row – Seated Cable (V-Bar),https://drive.google.com/file/d/1YG4OwlD4E16ihzNDry5ezJLFBUsEXXE-/view?usp=drivesdk,Compound,Horizontal Pull,Back,Biceps,Cables
 Seated cable row (wide neu),Row – Seated Cable (Wide Neutral),https://drive.google.com/file/d/1vWrSQSGTbXrySMiz2BSYIZujJibKC86S/view?usp=drivesdk,Compound,Horizontal Pull,Back,Upper Back,Cables
 Single Arm Cable Row,Row – Single Arm Cable,https://drive.google.com/file/d/1jR_oZqKXk_tDGw8CjNgbokZxgbSXsAa8/view?usp=drivesdk,Compound,Horizontal Pull,Back,Upper Back,Cables
 Tripod DB row (neutral),Row – Tripod Dumbbell (Neutral Grip),https://drive.google.com/file/d/13sQFZt4Ew8xhxwtr-pkSVnvf-4J-f8Y_/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Upper Back,Dumbbell + Bench
 Tripod DB row (rotating),Row – Tripod Dumbbell (Rotating Grip),https://drive.google.com/file/d/1ZbdR9JthGxrSJKD8cDG7JIndiWDUKoed/view?usp=drivesdk,Compound,Horizontal Pull,Lats,Upper Back,Dumbbell + Bench
 45⁰ russian twist,Russian Twist – 45 Degree,https://drive.google.com/file/d/1an-MMwJWB4fd3QoBv7284hi3a587Eg85/view?usp=drivesdk,Compound,Accessory,Abdominals,,Machine
 45⁰ russian twist (anti),Russian Twist – 45 Degree (Anti-Rotation),https://drive.google.com/file/d/1AindXFn9rxNmpfyWrQrJ5sHRk0ZhnjuS/view?usp=drivesdk,Compound,Accessory,Abdominals,,Machine
Behind the neck press ,Shoulder Press – Behind the Neck,https://drive.google.com/file/d/1nwisymBdFFHozTzFGCnE86JsebogVh-T/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Upper Back,Barbell
Kneeling landmine shoulder press,Shoulder Press – Kneeling Landmine,https://drive.google.com/file/d/1a-R0-sQb79xzFb7qz4rWivZtzCAG-ImZ/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Barbell + Landmine
Pin loaded shoulder press (neutral),Shoulder Press – Pin Loaded (Neutral),https://drive.google.com/file/d/1vPDQvoRPP2_i5DZRjTACxgFXBGoju0O0/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Machine
Pin loaded shoulder press (pronated),Shoulder Press – Pin Loaded (Pronated),https://drive.google.com/file/d/1JcAb7lNva8CP-01heqf-Pk8nHUeEyeQR/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Machine
Plate loaded shoulder press,Shoulder Press – Plate Loaded,https://drive.google.com/file/d/1mkpdtc7dmcuqRzH1cAAtUwr2UgzDFlb6/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Machine
Plate loaded shoulder press (single),Shoulder Press – Plate Loaded (Single Arm),https://drive.google.com/file/d/1eVlnIHiPa9CqmKa8RFpNgGwm9Ft8AUCw/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Machine
Standing Shoulder Press (barbell),Shoulder Press – Standing Barbell,https://drive.google.com/file/d/1PsNDyiVIog9prVZb6ecauyYsHS2zyBjr/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Barbell
Standing landmine shoulder press,Shoulder Press – Standing Landmine,https://drive.google.com/file/d/1oez6Tx8Hfiha4HLLUh9qyai194w0gCbp/view?usp=drivesdk,Compound,Vertical Push,Shoulders,Triceps,Barbell + Landmine
 Cable Ext Rotation ,Shoulder Rotation – Cable External,https://drive.google.com/file/d/1N7Ib1jH7Vz33Rf-D45MRy4H2dZalfdeh/view?usp=drivesdk,Isolation,Vertical Pull,Shoulders,,Cables
 Cable Int Rotation ,Shoulder Rotation – Cable Internal,https://drive.google.com/file/d/1xOXk5IRo6dmoNeDzbZGE8SOl8Ze0oB-X/view?usp=drivesdk,Isolation,Hinge,Shoulders,,Cables
 Seated db ext rotation,Shoulder Rotation – Seated Dumbbell External,https://drive.google.com/file/d/1Bx6RV2F_SZfDsjh21JiEmP6ROkd1YloQ/view?usp=drivesdk,Isolation,Isolation,Shoulders,,Dumbbells + Bench
 Frog sit up,Sit-Up – Frog,https://drive.google.com/file/d/108kiPjqn5ixDVND7bsY5Mc_tw7NEabM8/view?usp=drivesdk,Isolation,None of the above,Abdominals,,Bodyweight
 Half sit,Sit-Up – Half,https://drive.google.com/file/d/1WNE6Cx1dmHVN5SBwiR59YZjq_ky4MqHy/view?usp=drivesdk,Isolation,Isolation,Abdominals,,Bodyweight
 E-z bar skullcrusher ,Skullcrusher – EZ-Bar,https://drive.google.com/file/d/1YGycuJfUuLiZUxfTdP2SGUi01e4Q1r1o/view?usp=drivesdk,Isolation,Vertical Push,Triceps,,EZ Bar + Bench
 E-z bar skullcrusher (rollback),Skullcrusher – EZ-Bar (Rollback),https://drive.google.com/file/d/1FFSUeOgmxRjeOWrRfveP6_8ko96SV-Mm/view?usp=drivesdk,Isolation,Isolation,Triceps,,EZ Bar + Bench
Sled Pull,Sled Pull,https://drive.google.com/file/d/1xTf3c2qw41GZ-zqYBTGPmRjqbQUx_B0Q/view?usp=drivesdk,Compound,Accessory,Quads,,Sled
Sled Push,Sled Push,https://drive.google.com/file/d/1NAgoCXrhm72MXlB5roau_sUAyNFhCoga/view?usp=drivesdk,Compound,Accessory,Quads,Glutes,Sled
 Bulgarian Split Squat ,Split Squat – Bulgarian,https://drive.google.com/file/d/1qMCpC5rTpUcpe6ujZMnSsV-n3Xbk5Fe5/view?usp=drivesdk,Compound,Squat Quad Dominant,Glutes,Quads,Dumbbell + Bench
 DB Bulgarian split squat (contralateral),Split Squat – Bulgarian Dumbbell (Contralateral),https://drive.google.com/file/d/1_WhW45IvKPjF-w8vJEWD-verkPu1IPEt/view?usp=drivesdk,Compound,Squat Quad Dominant,Glutes,Quads,Dumbbell + Bench
 DB Bulgarian Split Squat (double),Split Squat – Bulgarian Dumbbell (Double),https://drive.google.com/file/d/1VUPXjFFxzLMBdRqT4p4-yjICvXc0XG5c/view?usp=drivesdk,Compound,Squat Quad Dominant,Glutes,Quads,Dumbbell + Bench
 DB split squat (hip),Split Squat – Dumbbell (Hip Bias),https://drive.google.com/file/d/1-e27C5OdETwNlaQ_ZSfOrH-NP1FfY5bM/view?usp=drivesdk,Compound,Squat Hip Dominant,Glutes,Quads,Dumbbell + Box
 Db Split Squat (quad),Split Squat – Dumbbell (Quad Bias),https://drive.google.com/file/d/150HoMobuhzNWW0D8iwxKbi9zm7XG3_ae/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Dumbbell + Box
 DB FFE Split Squat (hip),Split Squat – Front Foot Elevated Dumbbell (Hip Bias),https://drive.google.com/file/d/1f1WCUFIyxLSsIYPCF-YSSgssexUBRVcQ/view?usp=drivesdk,Compound,Squat Hip Dominant,Glutes,Quads,Dumbbells + Box
 Db FFE Split Squat (quad),Split Squat – Front Foot Elevated Dumbbell (Quad Bias),https://drive.google.com/file/d/123u6aXdfu87Fb1NMYU2-X_dZ2KhJHgNc/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Dumbbell + Box
Smith Machine Front Foot Elevated Split Squat,Split Squat – Smith Machine Front Foot Elevated,https://drive.google.com/file/d/1k_O7yEt7NY1ROI7K9GO8dXQzYebzTA4u/view?usp=drivesdk,Compound,Squat Hip Dominant,Quads,Glutes,Machine
 High bar back squat,Squat – Back (High Bar),https://drive.google.com/file/d/1jGhvGJGXkPuEGGCB9KqQnsWacFRwGeqQ/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Barbell
 Low bar back squat,Squat – Back (Low Bar),https://drive.google.com/file/d/1rwDOf6eM9ftkq0i_T213Z-dYStad0ara/view?usp=drivesdk,Compound,Squat Hip Dominant,Glutes,Quads,Barbell
 Barbell cyclist squat,Squat – Barbell Cyclist,https://drive.google.com/file/d/1EnF2VkW7E8DpLF4de7PLlPeutQcebMVQ/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Barbell
 High Heel Elevated Goblet Squat,Squat – Goblet (High Heel Elevated),https://drive.google.com/file/d/1Q3l69jCNWz-HIplE23Y1Li_x2SRBnp3m/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Dumbbells
 Low Heel Elevated Goblet Squat,Squat – Goblet (Low Heel Elevated),https://drive.google.com/file/d/1J_mvRn1W0bJ7F5G1wNealj4KitsDkZAB/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Dumbbells
 Hack squat machine,Squat – Hack Machine,https://drive.google.com/file/d/1pEngLpaE8fYE0SS0Qagc8N5YQrfcJov5/view?usp=drivesdk,Isolation,Squat Quad Dominant,Quads,,Machine
 Hack squat machine (l c),Squat – Hack Machine (Low Close Stance),https://drive.google.com/file/d/1FQzvw9qflRHbAlmK6AgY-0dz2f0V1zhr/view?usp=drivesdk,Isolation,Squat Quad Dominant,Quads,,Machine
 Safety bar squat,Squat – Safety Bar,https://drive.google.com/file/d/1C-D9T39RvLFn1TDbRQ5xWHhe4gYv5iQb/view?usp=drivesdk,Compound,Squat Quad Dominant,Quads,Glutes,Safety Squat Bar
 Dumbbell Tricep Rollback,Triceps Extension – Dumbbell Rollback,https://drive.google.com/file/d/1XkSimQcYXV69ArSReZn-vNP65Snh8CFp/view?usp=drivesdk,Isolation,Please specify which exercise you would like to categorize.,Triceps,,Dumbbells + Bench
 DB lying tricep extension,Triceps Extension – Lying Dumbbell,https://drive.google.com/file/d/1Heh4h7iunAQzfQVo13XWez73zYMCC1ng/view?usp=drivesdk,Isolation,Isolation,Triceps,,Dumbbell + Bench
 Machine tricep extension,Triceps Extension – Machine,https://drive.google.com/file/d/1XncqwSMqfmTbrXKvwIhifQspRf7ez9_s/view?usp=drivesdk,Isolation,Isolation,Triceps,,Machine
 Single cable oh tri ext (rope),"Triceps Extension – Overhead Cable (Single Arm, Rope)",https://drive.google.com/file/d/1xZ70LXlHg6gMaMKzpUTpHTTv4G9uAnln/view?usp=drivesdk,Isolation,Vertical Push,Triceps,,Cables
 Single cable overhead tri ext (v grip),"Triceps Extension – Overhead Cable (Single Arm, V-Grip)",https://drive.google.com/file/d/12-ErW7vkv68ZQFUQDgsEIPBHzWYnpPKV/view?usp=drivesdk,Isolation,Vertical Push,Triceps,,Cables
 Single cable vertical oh tri ext (rope) ,"Triceps Extension – Vertical Overhead Cable (Single Arm, Rope)",https://drive.google.com/file/d/1_Ucfu8aXeov4XPWTo_9go3Ac_MJt1ykc/view?usp=drivesdk,Isolation,Vertical Push,Triceps,,Machine
 Single Cable Tricep Kickback,Triceps Kickback – Single Arm Cable,https://drive.google.com/file/d/12o6NvjLBDdUgp7u-w3qrM-Jk8xNHYytA/view?usp=drivesdk,Isolation,Isolation,Triceps,,Cables
 Cable T-rex pushdown (bar),"Triceps Pushdown – Cable (Bar, T-Rex)",https://drive.google.com/file/d/1reR05gq6mV3_f9ukqaA9Th35l40WXBTv/view?usp=drivesdk,Isolation,Cannot categorize with the given options,Triceps,,Cables
 Cable Tricep Pushdown (bar),Triceps Pushdown – Cable (Bar),https://drive.google.com/file/d/1BYTQ5XnrunDcXvej_Tg9UmIFVbYKK2Uq/view?usp=drivesdk,Isolation,Isolation,Triceps,,Cables
 Cable Pushdown (v bar),Triceps Pushdown – Cable (V-Bar),https://drive.google.com/file/d/1ZEK8I4Ak6TJqdLEOqrHLfn_gLvvsb9s_/view?usp=drivesdk,Isolation,Isolation,Triceps,,Cables
 Chest supported Db y raise,Y-Raise – Chest Supported Dumbbell,https://drive.google.com/file/d/17O_UZuF7W1Fub9wyyf_ntTUzdsgu-eFx/view?usp=drivesdk,Isolation,Isolation,Upper Back,Shoulders,Dumbbell + Bench
 Chest supported stick y raise,Y-Raise – Chest Supported Stick,https://drive.google.com/file/d/1paAFlTIZIwgWA-uOAYbaxHWHxtlZOZJE/view?usp=drivesdk,Isolation,Isolation,Upper Back,Shoulders,Dumbbell + Bench
